#Name, Width, Height, Left, Right, Top, Bottom
Letter,8.5,11.0,0.5,0.4,0.5,0.4
Legal,8.5,14.0,0.5,0.4,0.5,0.4
Half Letter, 5.5,8.5,0.5,0.4,0.5,0.4
Tabloid,11.0,17.0,0.5,0.4,0.5,0.4
A4,8.3,11.7,0.5,0.4,0.5,0.4
A5,5.8,8.27,0.5,0.4,0.5,0.4
A6,4.1,5.8,0.5,0.4,0.5,0.4
A7,2.9,4.1,0.5,0.4,0.5,0.4
B3,13.9,19.7,0.5,0.4,0.5,0.4
B4,9.8,13.9,0.5,0.4,0.5,0.4
B5,6.9,9.8,0.5,0.4,0.5,0.4
B6,4.9,6.9,0.5,0.4,0.5,0.4
B7,3.5,4.9,0.5,0.4,0.5,0.4
C4,9.0,12.8,0.5,0.4,0.5,0.4
C5,6.4,9.0,0.5,0.4,0.5,0.4
C6,4.5,6.4,0.5,0.4,0.5,0.4
C7,3.2,4.5,0.5,0.4,0.5,0.4
Custom,8,10,0.5,0.4,0.5,0.4
